country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Rohini, Delhi - DPCC","23-02-2025 22:00:00",28.732528,77.119920,OZONE,5,104,70
India,Delhi,Delhi,"Shadipur, Delhi - CPCB","23-02-2025 22:00:00",28.6514781,77.1473105,OZONE,10,30,17
India,Delhi,Delhi,"Sirifort, Delhi - CPCB","23-02-2025 22:00:00",28.5504249,77.2159377,PM2.5,64,245,163
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","23-02-2025 22:00:00",28.623763,77.287209,NO2,17,111,63
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","23-02-2025 22:00:00",28.623763,77.287209,SO2,1,4,2
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC","23-02-2025 22:00:00",28.674045,77.131023,OZONE,2,83,53
India,Delhi,Delhi,"Pusa, Delhi - DPCC","23-02-2025 22:00:00",28.639652,77.146275,SO2,7,19,12
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","23-02-2025 22:00:00",28.60909,77.0325413,SO2,2,18,8
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","23-02-2025 22:00:00",28.570173,76.933762,PM10,48,123,87
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","23-02-2025 22:00:00",28.570173,76.933762,CO,24,48,35
India,Delhi,Delhi,"Narela, Delhi - DPCC","23-02-2025 22:00:00",28.822836,77.101981,OZONE,4,28,20
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","23-02-2025 22:00:00",28.567890,77.250515,NH3,6,8,7
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","23-02-2025 22:00:00",28.567890,77.250515,SO2,16,23,20
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","23-02-2025 22:00:00",28.580280,77.233829,SO2,5,14,9
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","23-02-2025 22:00:00",28.580280,77.233829,OZONE,16,92,45
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","23-02-2025 22:00:00",28.656756,77.227234,CO,41,70,66
India,Haryana,Gurugram,"Teri Gram, Gurugram - HSPCB","23-02-2025 22:00:00",28.4275,77.1465,OZONE,13,29,29
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM","23-02-2025 22:00:00",28.3153,76.9143,PM10,29,131,74
India,"Himachal Pradesh",Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB","23-02-2025 22:00:00",30.943887,76.801991,NO2,6,33,17
India,"Himachal Pradesh",Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB","23-02-2025 22:00:00",30.943887,76.801991,SO2,12,101,37
India,Jammu_and_Kashmir,Srinagar,"Rajbagh, Srinagar - JKSPCB","23-02-2025 22:00:00",34.066206,74.819820,OZONE,2,2,2
India,Jharkhand,Dhanbad,"Sardar Patel Nagar, Dhanbad - JSPCB","23-02-2025 22:00:00",23.80569,86.44268,PM2.5,3,124,49
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM","23-02-2025 22:00:00",23.243639,72.68994,CO,21,71,38
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB","23-02-2025 22:00:00",23.221714,72.654328,NO2,23,24,24
India,Gujarat,Surat,"Science Center, Surat - SMC","23-02-2025 22:00:00",21.170046,72.795405,PM2.5,NA,NA,NA
India,Gujarat,Surat,"Science Center, Surat - SMC","23-02-2025 22:00:00",21.170046,72.795405,CO,38,72,46
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB","23-02-2025 22:00:00",20.362421,72.918013,OZONE,2,2,2
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB","23-02-2025 22:00:00",22.969611,72.643500,PM2.5,56,408,211
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB","23-02-2025 22:00:00",22.969611,72.643500,NO2,35,81,52
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB","23-02-2025 22:00:00",22.969611,72.643500,NH3,2,13,6
India,Jharkhand,Dhanbad,"Sardar Patel Nagar, Dhanbad - JSPCB","23-02-2025 22:00:00",23.80569,86.44268,SO2,7,38,32
India,Karnataka,Belgaum,"Ramteerth Nagar, Belgaum - KSPCB","23-02-2025 22:00:00",15.888653,74.541751,PM2.5,NA,NA,NA
