country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,"Madhya Pradesh",Singrauli,"Suryakiran Bhawan NCL, Singrauli - MPPCB","23-02-2025 22:00:00",24.108970,82.645580,PM2.5,44,301,119
India,Maharashtra,Ahmednagar,"Tarakpur, Ahmednagar - MPCB","23-02-2025 22:00:00",19.10122,74.73339,PM10,71,347,145
India,Maharashtra,Ahmednagar,"Tarakpur, Ahmednagar - MPCB","23-02-2025 22:00:00",19.10122,74.73339,OZONE,8,148,82
India,Maharashtra,Akola,"Ramdaspeth, Akola - MPCB","23-02-2025 22:00:00",20.719516,77.000253,PM2.5,46,93,67
India,Maharashtra,Akola,"Ramdaspeth, Akola - MPCB","23-02-2025 22:00:00",20.719516,77.000253,NO2,11,61,26
India,Maharashtra,Aurangabad,"Rachnakar Colony, Aurangabad - MPCB","23-02-2025 22:00:00",19.863756,75.321188,PM2.5,42,79,57
India,Maharashtra,Aurangabad,"Rachnakar Colony, Aurangabad - MPCB","23-02-2025 22:00:00",19.863756,75.321188,NO2,11,84,41
India,Maharashtra,Aurangabad,"Rachnakar Colony, Aurangabad - MPCB","23-02-2025 22:00:00",19.863756,75.321188,OZONE,16,22,19
India,Maharashtra,Badlapur,"Katrap, Badlapur - MPCB","23-02-2025 22:00:00",19.16485,73.23409,PM10,65,207,118
India,Maharashtra,Badlapur,"Katrap, Badlapur - MPCB","23-02-2025 22:00:00",19.16485,73.23409,NH3,2,7,4
India,Maharashtra,Belapur,"CBD Belapur, Belapur - MPCB","23-02-2025 22:00:00",19.0243902,73.0406721,CO,44,90,58
